NAME,ADDRESS,NEIGHBOURHOOD
GRANDRAVINE PARK - Outdoor Tennis Court (  3),23 GRANDRAVINE DR,North York
GRAYDON HALL PARK - Outdoor Tennis Court (  1),215 GRAYDON HALL DR,North York
GRAYDON HALL PARK - Outdoor Tennis Court (  2),215 GRAYDON HALL DR,North York
GRAYDON HALL PARK - Outdoor Tennis Court (  3),215 GRAYDON HALL DR,North York
GWENDOLEN PARK - Outdoor Tennis Court,3 GWENDOLEN CRES,North York
HANLAN'S POINT PARK - Outdoor Tennis Court (  1),9 QUEENS QUAY  W,Waterfront
HANLAN'S POINT PARK - Outdoor Tennis Court (  2),9 QUEENS QUAY  W,Waterfront
HANLAN'S POINT PARK - Outdoor Tennis Court (  3),9 QUEENS QUAY  W,Waterfront
HANLAN'S POINT PARK - Outdoor Tennis Court (  4),9 QUEENS QUAY  W,Waterfront
HANLAN'S POINT PARK - Outdoor Tennis Court (  5),9 QUEENS QUAY  W,Waterfront
HANLAN'S POINT PARK - Outdoor Tennis Court (  6),9 QUEENS QUAY  W,Waterfront
HENDON PARK - Outdoor Tennis Court (  1),50 HENDON AVE,North York
HENDON PARK - Outdoor Tennis Court (  2),50 HENDON AVE,North York
HENDON PARK - Outdoor Tennis Court (  3),50 HENDON AVE,North York
HENDON PARK - Outdoor Tennis Court (  4),50 HENDON AVE,North York
HIGH PARK - Outdoor Tennis Court (  1),1873 BLOOR ST W,Etobicoke York
HIGH PARK - Outdoor Tennis Court (  1),1873 BLOOR ST W,Etobicoke York
HIGH PARK - Outdoor Tennis Court (  2),1873 BLOOR ST W,Etobicoke York
HIGH PARK - Outdoor Tennis Court (  2),1873 BLOOR ST W,Etobicoke York
HIGH PARK - Outdoor Tennis Court (  3),1873 BLOOR ST W,Etobicoke York
HIGH PARK - Outdoor Tennis Court (  3),1873 BLOOR ST W,Etobicoke York
HIGH PARK - Outdoor Tennis Court (  4),1873 BLOOR ST W,Etobicoke York
HOWARD TALBOT PARK - Outdoor Tennis Court (  1),635 EGLINTON AVE E,North York
HOWARD TALBOT PARK - Outdoor Tennis Court (  2),635 EGLINTON AVE E,North York
HULLMAR PARK - Outdoor Tennis Court (  1),97 HULLMAR DR,North York
HULLMAR PARK - Outdoor Tennis Court (  2),97 HULLMAR DR,North York
HULLMAR PARK - Outdoor Tennis Court (  3),97 HULLMAR DR,North York
HUMBER VALLEY PARK - Outdoor Tennis Court (  1),54 ANGLESEY BLVD,Etobicoke York
HUMBER VALLEY PARK - Outdoor Tennis Court (  2),54 ANGLESEY BLVD,Etobicoke York
HUMBER VALLEY PARK - Outdoor Tennis Court (  3),54 ANGLESEY BLVD,Etobicoke York
HUMBER VALLEY PARK - Outdoor Tennis Court (  4),54 ANGLESEY BLVD,Etobicoke York
INDIAN LINE PARK - Outdoor Tennis Court (  1),655 HUMBERWOOD BLVD,Etobicoke York
INDIAN LINE PARK - Outdoor Tennis Court (  2),655 HUMBERWOOD BLVD,Etobicoke York
IROQUOIS PARK - Outdoor Tennis Court (  1),295 CHARTLAND BLVD S,Scarborough
IROQUOIS PARK - Outdoor Tennis Court (  2),295 CHARTLAND BLVD S,Scarborough
IROQUOIS PARK - Outdoor Tennis Court (  3),295 CHARTLAND BLVD S,Scarborough
IRVING W. CHAPLEY PARK - Outdoor Tennis Court (  1),205 WILMINGTON AVE,North York
IRVING W. CHAPLEY PARK - Outdoor Tennis Court (  2),205 WILMINGTON AVE,North York
JEFF HEALEY PARK - Outdoor Tennis Court (  1),19 DELROY DR,Etobicoke York
JEFF HEALEY PARK - Outdoor Tennis Court (  2),19 DELROY DR,Etobicoke York
JIMMIE SIMPSON PARK - Outdoor Tennis Court (  1),870 QUEEN ST E,Toronto East York
JIMMIE SIMPSON PARK - Outdoor Tennis Court (  2),870 QUEEN ST E,Toronto East York
JONATHAN ASHBRIDGE PARK - Outdoor Tennis Court (  1),1515 QUEEN ST E,Waterfront
JONATHAN ASHBRIDGE PARK - Outdoor Tennis Court (  2),1515 QUEEN ST E,Waterfront
KINGSVIEW PARK - Outdoor Tennis Court (  1),46 KINGSVIEW BLVD,Etobicoke York
KINGSVIEW PARK - Outdoor Tennis Court (  2),46 KINGSVIEW BLVD,Etobicoke York
KIRKWOOD PARK - Outdoor Tennis Court (  1),25 KIRKWOOD RD,North York
KIRKWOOD PARK - Outdoor Tennis Court (  2),25 KIRKWOOD RD,North York
KIRKWOOD PARK - Outdoor Tennis Court (  3),25 KIRKWOOD RD,North York
KIRKWOOD PARK - Outdoor Tennis Court (  4),25 KIRKWOOD RD,North York
LABURNHAM PARK - Outdoor Tennis Court (  1),60 LABURNHAM AVE,Etobicoke York
LABURNHAM PARK - Outdoor Tennis Court (  2),60 LABURNHAM AVE,Etobicoke York
LAKESHORE BOULEVARD PARKLANDS - Outdoor Tennis Court (  1),1389 LAKE SHORE BLVD W,Waterfront
LAKESHORE BOULEVARD PARKLANDS - Outdoor Tennis Court (  2),1389 LAKE SHORE BLVD W,Waterfront
LAKESHORE BOULEVARD PARKLANDS - Outdoor Tennis Court (  3),1389 LAKE SHORE BLVD W,Waterfront
LAKESHORE BOULEVARD PARKLANDS - Outdoor Tennis Court (  4),1389 LAKE SHORE BLVD W,Waterfront
LAMBTON - KINGSWAY PARK - Outdoor Tennis Court (  1),37 MARQUIS AVE,Etobicoke York
LAMBTON - KINGSWAY PARK - Outdoor Tennis Court (  2),37 MARQUIS AVE,Etobicoke York
LANYARD PARK - Outdoor Tennis Court (  1),138 LANYARD RD,Etobicoke York
LANYARD PARK - Outdoor Tennis Court (  2),138 LANYARD RD,Etobicoke York
LANYARD PARK - Outdoor Tennis Court (  3),138 LANYARD RD,Etobicoke York
MALVERN PARK - Outdoor Tennis Court (  1),36 SEWELLS RD,Scarborough
MALVERN PARK - Outdoor Tennis Court (  2),36 SEWELLS RD,Scarborough
MALVERN PARK - Outdoor Tennis Court (  3),36 SEWELLS RD,Scarborough
MANCHESTER PARK - Outdoor Tennis Court (  1),75 MANCHESTER ST,Etobicoke York
MANCHESTER PARK - Outdoor Tennis Court (  2),75 MANCHESTER ST,Etobicoke York
MANCHESTER PARK - Outdoor Tennis Court (  3),75 MANCHESTER ST,Etobicoke York
MAPLE LEAF PARK - Outdoor Tennis Court (  1),320 CULFORD RD,Etobicoke York
MAPLE LEAF PARK - Outdoor Tennis Court (  2),320 CULFORD RD,Etobicoke York
MAPLE LEAF PARK - Outdoor Tennis Court (  3),320 CULFORD RD,Etobicoke York
MARILYN BELL PARK - Outdoor Tennis Court (  1),1095 LAKE SHORE BLVD W,Waterfront
MARILYN BELL PARK - Outdoor Tennis Court (  2),1095 LAKE SHORE BLVD W,Waterfront
MARILYN BELL PARK - Outdoor Tennis Court (  3),1095 LAKE SHORE BLVD W,Waterfront
MARILYN BELL PARK - Outdoor Tennis Court (  4),1095 LAKE SHORE BLVD W,Waterfront
MARTIN GROVE GARDENS PARK - Outdoor Tennis Court (  1),31 LAVINGTON DR,Etobicoke York
MARTIN GROVE GARDENS PARK - Outdoor Tennis Court (  2),31 LAVINGTON DR,Etobicoke York
MARTIN GROVE GARDENS PARK - Outdoor Tennis Court (  3),31 LAVINGTON DR,Etobicoke York
MCDAIRMID WOODS PARK - Outdoor Tennis Court (  1),51 RUBIC CRES,Scarborough
MCDAIRMID WOODS PARK - Outdoor Tennis Court (  2),51 RUBIC CRES,Scarborough
MCDAIRMID WOODS PARK - Outdoor Tennis Court (  3),51 RUBIC CRES,Scarborough
MCGREGOR PARK - Outdoor Tennis Court (  1),2231 LAWRENCE AVE E,Scarborough
MCGREGOR PARK - Outdoor Tennis Court (  2),2231 LAWRENCE AVE E,Scarborough
MCGREGOR PARK - Outdoor Tennis Court (  3),2231 LAWRENCE AVE E,Scarborough
MCNICOLL PARK - Outdoor Tennis Court (  1),215 MCNICOLL AVE,North York
MCNICOLL PARK - Outdoor Tennis Court (  2),215 MCNICOLL AVE,North York
MCNICOLL PARK - Outdoor Tennis Court (  3),215 MCNICOLL AVE,North York
MILL VALLEY PARK - Outdoor Tennis Court (  1),412 MILL RD,Etobicoke York
MILL VALLEY PARK - Outdoor Tennis Court (  2),412 MILL RD,Etobicoke York
MILLWOOD PARK - Outdoor Tennis Court (  1),4370 BLOOR ST W,Etobicoke York
MILLWOOD PARK - Outdoor Tennis Court (  2),4370 BLOOR ST W,Etobicoke York
MILLWOOD PARK - Outdoor Tennis Court (  3),4370 BLOOR ST W,Etobicoke York
MOORE PARK - Outdoor Tennis Court (  1),110 CACTUS AVE,North York
MOORE PARK - Outdoor Tennis Court (  2),110 CACTUS AVE,North York
MOORE PARK - Outdoor Tennis Court (  3),110 CACTUS AVE,North York
MOSS PARK - Outdoor Tennis Court (  1),150 SHERBOURNE ST,Toronto East York
MOSS PARK - Outdoor Tennis Court (  2),150 SHERBOURNE ST,Toronto East York
NORTH PARK - Outdoor Tennis Court (  1),587 RUSTIC RD,Etobicoke York
NORTH PARK - Outdoor Tennis Court (  2),587 RUSTIC RD,Etobicoke York
NORWOOD PARK - Outdoor Tennis Court (  1),16 NORWOOD RD,Toronto East York
NORWOOD PARK - Outdoor Tennis Court (  2),16 NORWOOD RD,Toronto East York
NORWOOD PARK - Outdoor Tennis Court (  3),16 NORWOOD RD,Toronto East York
NORWOOD PARK - Outdoor Tennis Court (  4),16 NORWOOD RD,Toronto East York
NORWOOD PARK - Outdoor Tennis Court (  5),16 NORWOOD RD,Toronto East York
ORIOLE PARK - TORONTO - Outdoor Tennis Court (  1),201 ORIOLE PKWY,Toronto East York
ORIOLE PARK - TORONTO - Outdoor Tennis Court (  2),201 ORIOLE PKWY,Toronto East York
OURLAND PARK - Outdoor Tennis Court (  1),18 OURLAND AVE,Etobicoke York
OURLAND PARK - Outdoor Tennis Court (  2),18 OURLAND AVE,Etobicoke York
PARK LAWN PARK - Outdoor Tennis Court (  1),330 PARK LAWN RD,Etobicoke York
PARK LAWN PARK - Outdoor Tennis Court (  2),330 PARK LAWN RD,Etobicoke York
PARK LAWN PARK - Outdoor Tennis Court (  3),330 PARK LAWN RD,Etobicoke York
PARK LAWN PARK - Outdoor Tennis Court (  4),330 PARK LAWN RD,Etobicoke York
PELMO PARK - Outdoor Tennis Court (  1),171 PELLATT AVE,Etobicoke York
PELMO PARK - Outdoor Tennis Court (  2),171 PELLATT AVE,Etobicoke York
PELMO PARK - Outdoor Tennis Court (  3),171 PELLATT AVE,Etobicoke York
PINE POINT PARK - Outdoor Tennis Court (  1),4 CONAN RD,Etobicoke York
PINE POINT PARK - Outdoor Tennis Court (  2),4 CONAN RD,Etobicoke York
PRAIRIE DRIVE PARK - Outdoor Tennis Court (  1),70 PRAIRIE DR,Scarborough
PRAIRIE DRIVE PARK - Outdoor Tennis Court (  2),70 PRAIRIE DR,Scarborough
PRAIRIE DRIVE PARK - Outdoor Tennis Court (  3),70 PRAIRIE DR,Scarborough
PRINCE OF WALES PARK - Outdoor Tennis Court (  1),1 THIRD ST,Etobicoke York
PRINCE OF WALES PARK - Outdoor Tennis Court (  2),1 THIRD ST,Etobicoke York
PRINCE OF WALES PARK - Outdoor Tennis Court (  3),1 THIRD ST,Etobicoke York
